unit,cycles_count,cycle_length,first_s1,first_s2,first_s3,first_s4,first_s5,first_s6,first_s7,first_s8,first_s9,first_s10,first_s11,first_s12,first_s13,first_s14,first_s15,first_s16,first_s17,first_s18,first_s19,first_s20,first_s21,last_s1,last_s2,last_s3,last_s4,last_s5,last_s6,last_s7,last_s8,last_s9,last_s10,last_s11,last_s12,last_s13,last_s14,last_s15,last_s16,last_s17,last_s18,last_s19,last_s20,last_s21
50,198,198,518.67,642.12,1582.5,1400.44,14.62,21.61,553.76,2388.05,9057.95,1.3,47.31,521.97,2388.08,8141.04,8.4366,0.03,394.0,2388.0,100.0,38.96,23.3947,518.67,643.83,1608.2,1433.88,14.62,21.61,552.06,2388.2,9128.91,1.3,48.01,520.0,2388.25,8200.2,8.5002,0.03,396.0,2388.0,100.0,38.43,23.1086
51,213,213,518.67,641.83,1583.55,1408.68,14.62,21.61,553.56,2387.98,9065.98,1.3,47.25,521.79,2387.99,8149.56,8.3884,0.03,391.0,2388.0,100.0,39.08,23.3214,518.67,644.11,1606.6,1428.55,14.62,21.61,551.6,2388.56,9244.59,1.3,47.89,520.2,2388.54,8293.72,8.5306,0.03,397.0,2388.0,100.0,38.39,23.0958
52,213,213,518.67,642.67,1587.47,1405.02,14.62,21.61,553.94,2388.11,9049.17,1.3,47.5,521.23,2388.08,8130.94,8.3885,0.03,394.0,2388.0,100.0,38.77,23.3636,518.67,643.67,1601.99,1436.34,14.62,21.61,552.28,2388.18,9119.4,1.3,48.18,519.23,2388.21,8181.73,8.5159,0.03,397.0,2388.0,100.0,38.35,23.015
53,195,195,518.67,642.33,1589.39,1407.73,14.62,21.61,554.42,2388.09,9065.54,1.3,47.47,522.14,2388.1,8146.36,8.4451,0.03,392.0,2388.0,100.0,38.91,23.2416,518.67,644.18,1612.63,1423.19,14.62,21.61,552.53,2388.14,9162.47,1.3,48.18,519.68,2388.17,8230.96,8.5196,0.03,396.0,2388.0,100.0,38.32,23.0419
54,257,257,518.67,642.55,1582.13,1395.54,14.62,21.61,554.37,2388.02,9056.97,1.3,47.16,521.64,2388.05,8139.33,8.39,0.03,390.0,2388.0,100.0,39.16,23.3164,518.67,643.8,1601.79,1433.26,14.62,21.61,551.37,2388.16,9155.85,1.3,48.15,519.57,2388.15,8220.23,8.5295,0.03,395.0,2388.0,100.0,38.3,23.05
55,193,193,518.67,642.58,1583.77,1407.45,14.62,21.61,554.39,2388.1,9041.62,1.3,47.39,521.5,2388.1,8133.23,8.4287,0.03,393.0,2388.0,100.0,38.95,23.3957,518.67,644.01,1605.12,1433.56,14.62,21.61,551.8,2388.14,9202.75,1.3,48.19,520.36,2388.16,8257.58,8.531,0.03,397.0,2388.0,100.0,38.49,23.1604
56,275,275,518.67,642.57,1591.56,1405.96,14.62,21.61,553.34,2388.12,9055.81,1.3,47.38,521.93,2388.1,8133.85,8.4444,0.03,391.0,2388.0,100.0,38.75,23.3174,518.67,644.09,1600.47,1427.24,14.62,21.61,551.44,2388.16,9145.5,1.3,48.16,519.87,2388.19,8217.25,8.5243,0.03,396.0,2388.0,100.0,38.27,23.0597
57,137,137,518.67,642.64,1593.48,1402.4,14.62,21.61,553.58,2388.07,9049.3,1.3,47.41,521.82,2388.08,8136.11,8.3973,0.03,391.0,2388.0,100.0,38.96,23.3836,518.67,644.15,1596.45,1432.49,14.62,21.61,550.95,2388.32,9036.5,1.3,48.26,519.07,2388.28,8108.28,8.5533,0.03,394.0,2388.0,100.0,38.24,23.0412
58,147,147,518.67,642.71,1587.27,1405.1,14.62,21.61,553.55,2387.99,9063.94,1.3,47.4,521.98,2388.0,8145.98,8.3982,0.03,391.0,2388.0,100.0,39.03,23.4821,518.67,643.75,1593.77,1438.22,14.62,21.61,551.29,2388.28,9047.79,1.3,48.33,519.77,2388.33,8119.76,8.519,0.03,395.0,2388.0,100.0,38.29,23.185
59,231,231,518.67,642.23,1583.85,1394.9,14.62,21.61,554.96,2388.01,9054.46,1.3,47.12,522.76,2387.99,8138.74,8.4077,0.03,390.0,2388.0,100.0,38.95,23.3631,518.67,643.47,1599.56,1425.87,14.62,21.61,550.88,2388.28,9063.69,1.3,48.14,519.09,2388.24,8141.32,8.5155,0.03,395.0,2388.0,100.0,38.44,23.0258
60,172,172,518.67,642.65,1585.71,1394.7,14.62,21.61,554.13,2388.14,9044.2,1.3,47.69,521.92,2388.11,8135.39,8.4409,0.03,392.0,2388.0,100.0,38.89,23.3721,518.67,643.62,1605.19,1434.09,14.62,21.61,551.21,2388.18,9141.47,1.3,48.04,520.44,2388.22,8205.47,8.5322,0.03,396.0,2388.0,100.0,38.23,22.954
61,185,185,518.67,641.89,1582.05,1399.41,14.62,21.61,554.88,2387.98,9063.7,1.3,47.15,522.36,2388.01,8140.09,8.3703,0.03,391.0,2388.0,100.0,39.27,23.4459,518.67,643.39,1604.83,1426.0,14.62,21.61,551.12,2388.26,9038.93,1.3,48.23,519.82,2388.27,8109.39,8.519,0.03,397.0,2388.0,100.0,38.34,22.984
62,180,180,518.67,642.77,1588.2,1413.2,14.62,21.61,553.04,2388.07,9060.26,1.3,47.55,521.52,2388.1,8140.43,8.4479,0.03,392.0,2388.0,100.0,38.94,23.2366,518.67,643.49,1595.1,1427.51,14.62,21.61,551.09,2388.28,9037.02,1.3,48.16,519.68,2388.31,8123.28,8.5442,0.03,396.0,2388.0,100.0,38.35,23.0042
63,174,174,518.67,642.61,1585.01,1405.59,14.62,21.61,553.95,2388.07,9050.26,1.3,47.38,521.24,2388.09,8137.64,8.395,0.03,392.0,2388.0,100.0,38.98,23.4455,518.67,643.43,1603.87,1424.72,14.62,21.61,551.7,2388.16,9175.01,1.3,48.21,520.16,2388.16,8239.45,8.5265,0.03,397.0,2388.0,100.0,38.31,23.2228
64,283,283,518.67,642.36,1586.12,1408.33,14.62,21.61,553.72,2388.06,9061.0,1.3,47.36,522.38,2388.02,8139.39,8.4304,0.03,393.0,2388.0,100.0,38.91,23.325,518.67,643.88,1605.47,1425.77,14.62,21.61,550.6,2388.17,9111.28,1.3,48.15,519.54,2388.22,8181.59,8.5458,0.03,397.0,2388.0,100.0,38.45,23.1041
65,153,153,518.67,642.2,1586.71,1398.93,14.62,21.61,554.78,2387.93,9055.53,1.3,47.12,522.03,2388.05,8141.36,8.4242,0.03,392.0,2388.0,100.0,39.12,23.4108,518.67,643.95,1592.45,1432.83,14.62,21.61,551.19,2388.28,9030.23,1.3,48.08,519.73,2388.34,8109.49,8.5197,0.03,396.0,2388.0,100.0,38.37,23.1362
66,202,202,518.67,642.5,1589.58,1408.97,14.62,21.61,553.37,2388.08,9055.8,1.3,47.6,521.13,2388.08,8139.28,8.4472,0.03,394.0,2388.0,100.0,38.83,23.2739,518.67,643.88,1607.66,1429.38,14.62,21.61,551.53,2388.23,9071.25,1.3,48.19,519.38,2388.25,8147.9,8.5382,0.03,396.0,2388.0,100.0,38.38,23.1412
67,313,313,518.67,642.52,1583.12,1398.16,14.62,21.61,553.89,2388.09,9062.52,1.3,47.28,521.92,2388.04,8134.47,8.4813,0.03,391.0,2388.0,100.0,39.03,23.3564,518.67,643.57,1599.78,1424.96,14.62,21.61,551.3,2388.29,9074.14,1.3,48.28,520.29,2388.21,8146.04,8.5668,0.03,397.0,2388.0,100.0,38.45,23.1288
68,199,199,518.67,642.25,1589.89,1408.15,14.62,21.61,553.31,2388.07,9065.09,1.3,47.29,521.73,2388.11,8141.65,8.4583,0.03,394.0,2388.0,100.0,38.71,23.3029,518.67,643.88,1609.59,1430.17,14.62,21.61,551.47,2388.2,9158.41,1.3,48.16,519.72,2388.14,8226.34,8.5196,0.03,395.0,2388.0,100.0,38.4,23.0888
69,362,362,518.67,641.96,1587.1,1400.65,14.62,21.61,553.68,2388.0,9054.19,1.3,47.34,522.03,2388.03,8136.88,8.4094,0.03,392.0,2388.0,100.0,38.87,23.4081,518.67,643.75,1598.16,1428.28,14.62,21.61,551.55,2388.31,9054.19,1.3,48.02,519.12,2388.33,8124.27,8.5126,0.03,397.0,2388.0,100.0,38.42,22.9782
70,137,137,518.67,642.26,1588.45,1400.02,14.62,21.61,552.94,2388.09,9065.41,1.3,47.61,521.18,2388.07,8138.06,8.43,0.03,392.0,2388.0,100.0,38.81,23.418,518.67,643.39,1602.76,1434.81,14.62,21.61,551.64,2388.17,9106.12,1.3,48.16,519.6,2388.25,8173.73,8.5312,0.03,396.0,2388.0,100.0,38.49,23.1398
71,208,208,518.67,642.64,1581.95,1407.04,14.62,21.61,553.56,2388.11,9042.7,1.3,47.44,521.9,2388.13,8126.82,8.4372,0.03,391.0,2388.0,100.0,38.99,23.2399,518.67,643.57,1599.94,1437.81,14.62,21.61,551.45,2388.18,9153.73,1.3,48.02,520.04,2388.19,8225.07,8.5197,0.03,397.0,2388.0,100.0,38.25,22.9967
72,213,213,518.67,642.76,1581.27,1397.98,14.62,21.61,554.28,2388.09,9051.07,1.3,47.44,522.4,2388.1,8138.35,8.4426,0.03,392.0,2388.0,100.0,38.91,23.3684,518.67,643.91,1597.72,1427.84,14.62,21.61,550.89,2388.32,9033.07,1.3,48.17,519.48,2388.36,8103.27,8.5519,0.03,395.0,2388.0,100.0,38.46,23.1649
73,213,213,518.67,642.84,1591.37,1408.94,14.62,21.61,553.29,2388.15,9042.35,1.3,47.46,521.26,2388.11,8122.12,8.4092,0.03,394.0,2388.0,100.0,38.72,23.2402,518.67,643.54,1599.16,1428.84,14.62,21.61,551.62,2388.28,9041.6,1.3,48.12,519.7,2388.35,8114.48,8.5434,0.03,396.0,2388.0,100.0,38.54,23.0257
74,166,166,518.67,642.31,1580.43,1400.18,14.62,21.61,554.02,2388.0,9067.46,1.3,47.21,522.55,2388.0,8148.06,8.379,0.03,391.0,2388.0,100.0,39.11,23.405,518.67,643.29,1604.39,1431.14,14.62,21.61,550.35,2388.3,9056.35,1.3,48.07,519.52,2388.25,8123.87,8.5309,0.03,398.0,2388.0,100.0,38.36,22.9906
75,229,229,518.67,642.1,1590.06,1404.45,14.62,21.61,553.69,2388.1,9045.13,1.3,47.64,521.34,2388.06,8122.59,8.4538,0.03,392.0,2388.0,100.0,38.98,23.2272,518.67,643.7,1600.8,1433.1,14.62,21.61,552.04,2388.31,9026.08,1.3,48.22,519.51,2388.3,8104.78,8.5097,0.03,395.0,2388.0,100.0,38.57,23.0341
76,210,210,518.67,642.66,1585.01,1411.33,14.62,21.61,554.11,2388.12,9054.53,1.3,47.5,521.51,2388.1,8128.52,8.4346,0.03,393.0,2388.0,100.0,38.75,23.3154,518.67,643.67,1598.61,1432.07,14.62,21.61,550.94,2388.27,9056.85,1.3,48.24,519.41,2388.28,8131.33,8.5253,0.03,396.0,2388.0,100.0,38.5,23.0671
77,154,154,518.67,642.62,1591.75,1411.32,14.62,21.61,553.71,2388.07,9052.57,1.3,47.55,521.45,2388.1,8126.56,8.4655,0.03,392.0,2388.0,100.0,38.92,23.2762,518.67,643.49,1601.95,1423.58,14.62,21.61,551.86,2388.27,9074.92,1.3,48.08,519.38,2388.24,8148.51,8.5105,0.03,399.0,2388.0,100.0,38.29,23.0154
78,231,231,518.67,642.0,1587.5,1395.1,14.62,21.61,554.76,2388.02,9055.79,1.3,47.0,522.48,2387.96,8139.23,8.3303,0.03,392.0,2388.0,100.0,39.26,23.4923,518.67,643.23,1596.6,1428.33,14.62,21.61,551.6,2388.24,9090.13,1.3,48.22,519.11,2388.21,8160.8,8.5254,0.03,396.0,2388.0,100.0,38.25,23.126
79,199,199,518.67,642.22,1581.77,1392.78,14.62,21.61,554.44,2387.95,9055.37,1.3,47.1,522.54,2388.05,8139.5,8.3795,0.03,391.0,2388.0,100.0,39.02,23.526,518.67,643.57,1598.35,1436.93,14.62,21.61,551.0,2388.26,9095.97,1.3,48.2,519.62,2388.21,8165.3,8.5273,0.03,397.0,2388.0,100.0,38.4,23.1076
80,185,185,518.67,642.66,1588.3,1392.25,14.62,21.61,553.3,2388.17,9052.54,1.3,47.44,521.76,2388.13,8130.23,8.4377,0.03,393.0,2388.0,100.0,38.66,23.2146,518.67,643.88,1606.38,1421.41,14.62,21.61,551.55,2388.22,9170.57,1.3,48.05,520.0,2388.18,8229.73,8.525,0.03,397.0,2388.0,100.0,38.35,23.0323
81,240,240,518.67,642.04,1589.91,1406.63,14.62,21.61,553.78,2388.1,9060.49,1.3,47.53,522.09,2388.04,8134.78,8.4455,0.03,391.0,2388.0,100.0,38.87,23.3365,518.67,644.01,1601.01,1423.61,14.62,21.61,550.75,2388.28,9061.24,1.3,48.12,519.48,2388.22,8129.61,8.4922,0.03,397.0,2388.0,100.0,38.37,23.0289
82,214,214,518.67,641.73,1582.64,1401.58,14.62,21.61,555.37,2387.98,9064.54,1.3,47.09,522.39,2387.99,8148.75,8.383,0.03,391.0,2388.0,100.0,38.84,23.4584,518.67,643.73,1601.66,1427.73,14.62,21.61,551.57,2388.16,9215.59,1.3,48.3,520.01,2388.16,8267.9,8.5222,0.03,399.0,2388.0,100.0,38.56,23.0292
83,293,293,518.67,642.14,1581.34,1392.65,14.62,21.61,554.79,2388.06,9057.43,1.3,47.14,522.26,2388.03,8148.42,8.3915,0.03,391.0,2388.0,100.0,39.13,23.3768,518.67,643.77,1605.59,1430.64,14.62,21.61,551.68,2388.25,9045.98,1.3,48.21,519.45,2388.31,8115.28,8.5123,0.03,397.0,2388.0,100.0,38.42,22.9926
84,267,267,518.67,643.21,1582.28,1411.05,14.62,21.61,552.34,2388.13,9047.16,1.3,47.7,521.74,2388.17,8126.26,8.4379,0.03,393.0,2388.0,100.0,38.69,23.2347,518.67,643.68,1606.08,1430.13,14.62,21.61,550.64,2388.25,9079.24,1.3,48.17,519.77,2388.23,8149.66,8.5367,0.03,396.0,2388.0,100.0,38.49,23.1018
85,188,188,518.67,642.31,1580.41,1404.26,14.62,21.61,553.92,2388.09,9047.33,1.3,47.31,522.02,2388.05,8131.67,8.3863,0.03,393.0,2388.0,100.0,38.95,23.3332,518.67,643.64,1603.1,1434.88,14.62,21.61,551.23,2388.28,9050.97,1.3,48.17,519.61,2388.3,8124.14,8.4977,0.03,396.0,2388.0,100.0,38.61,22.9752
86,278,278,518.67,643.06,1593.71,1408.42,14.62,21.61,554.35,2388.05,9060.64,1.3,47.35,522.38,2388.09,8136.32,8.4239,0.03,392.0,2388.0,100.0,38.82,23.4096,518.67,643.15,1600.16,1425.47,14.62,21.61,551.62,2388.23,9078.73,1.3,48.16,519.63,2388.22,8151.89,8.4919,0.03,398.0,2388.0,100.0,38.51,22.9947
87,178,178,518.67,642.67,1595.33,1404.23,14.62,21.61,554.29,2388.04,9060.45,1.3,47.36,522.07,2388.01,8143.6,8.4386,0.03,396.0,2388.0,100.0,38.87,23.3231,518.67,643.44,1597.69,1433.25,14.62,21.61,551.24,2388.32,9050.62,1.3,48.11,519.79,2388.31,8121.08,8.5082,0.03,397.0,2388.0,100.0,38.61,23.074
88,213,213,518.67,642.31,1573.02,1404.47,14.62,21.6,554.38,2388.03,9059.25,1.3,47.33,521.84,2388.0,8146.05,8.412,0.03,393.0,2388.0,100.0,39.12,23.3496,518.67,643.65,1602.86,1431.92,14.62,21.61,551.76,2388.13,9149.8,1.3,48.4,519.95,2388.19,8212.51,8.5067,0.03,397.0,2388.0,100.0,38.45,22.9829
89,217,217,518.67,642.47,1582.56,1402.93,14.62,21.6,554.62,2388.07,9042.07,1.3,46.97,522.18,2388.03,8128.4,8.4249,0.03,391.0,2388.0,100.0,38.93,23.384,518.67,643.18,1603.61,1431.32,14.62,21.61,551.03,2388.17,9081.82,1.3,48.39,519.86,2388.22,8154.8,8.4936,0.03,397.0,2388.0,100.0,38.19,23.09
90,154,154,518.67,642.34,1584.51,1394.55,14.62,21.61,553.98,2388.08,9056.25,1.3,47.06,521.98,2388.01,8139.65,8.4261,0.03,392.0,2388.0,100.0,39.07,23.4068,518.67,643.6,1598.79,1434.02,14.62,21.61,550.77,2388.32,9032.34,1.3,48.4,519.31,2388.34,8110.86,8.5637,0.03,395.0,2388.0,100.0,38.44,23.0727
91,135,135,518.67,643.41,1587.82,1411.03,14.62,21.61,554.53,2388.08,9054.59,1.3,47.69,521.44,2388.11,8134.25,8.4351,0.03,393.0,2388.0,100.0,38.77,23.286,518.67,644.04,1607.23,1432.29,14.62,21.61,550.69,2388.27,9047.27,1.3,48.31,519.06,2388.26,8115.44,8.5228,0.03,396.0,2388.0,100.0,38.53,23.0902
92,341,341,518.67,642.22,1591.86,1401.89,14.62,21.61,553.48,2388.1,9057.74,1.3,47.44,521.81,2388.09,8136.55,8.3948,0.03,392.0,2388.0,100.0,38.87,23.4047,518.67,644.04,1607.05,1428.06,14.62,21.61,551.34,2388.23,9143.56,1.3,48.01,519.83,2388.15,8201.66,8.5403,0.03,397.0,2388.0,100.0,38.26,23.0719
93,155,155,518.67,642.51,1579.7,1402.95,14.62,21.61,554.54,2388.07,9060.7,1.3,47.13,522.42,2388.03,8139.06,8.4373,0.03,391.0,2388.0,100.0,39.03,23.3501,518.67,643.45,1603.62,1428.64,14.62,21.61,550.75,2388.21,9068.93,1.3,48.2,519.35,2388.26,8137.0,8.488,0.03,396.0,2388.0,100.0,38.44,23.1179
94,258,258,518.67,642.44,1590.79,1412.71,14.62,21.61,554.09,2388.11,9050.18,1.3,47.6,521.1,2388.13,8120.76,8.431,0.03,393.0,2388.0,100.0,38.82,23.3856,518.67,644.07,1600.69,1425.25,14.62,21.61,551.27,2388.15,9153.46,1.3,48.26,519.74,2388.19,8217.94,8.5335,0.03,396.0,2388.0,100.0,38.3,22.9862
95,283,283,518.67,641.95,1581.56,1387.38,14.62,21.6,555.01,2387.92,9074.19,1.3,47.2,522.74,2387.93,8153.89,8.3884,0.03,393.0,2388.0,100.0,38.98,23.4483,518.67,643.43,1609.16,1430.97,14.62,21.61,551.48,2388.21,9120.46,1.3,48.16,519.27,2388.2,8183.58,8.5648,0.03,396.0,2388.0,100.0,38.37,23.1041
96,336,336,518.67,642.03,1579.12,1404.22,14.62,21.61,554.92,2388.11,9046.49,1.3,47.41,522.26,2388.06,8133.36,8.4293,0.03,392.0,2388.0,100.0,38.82,23.4178,518.67,643.74,1599.2,1432.12,14.62,21.61,550.78,2388.28,9075.64,1.3,48.17,519.18,2388.24,8144.03,8.5022,0.03,397.0,2388.0,100.0,38.36,23.0258
97,202,202,518.67,642.01,1581.83,1395.4,14.62,21.61,554.31,2388.04,9044.3,1.3,47.21,522.34,2388.05,8130.81,8.4027,0.03,391.0,2388.0,100.0,38.94,23.3732,518.67,643.79,1610.66,1427.41,14.62,21.61,551.55,2388.15,9208.02,1.3,47.94,519.91,2388.15,8263.63,8.5277,0.03,397.0,2388.0,100.0,38.29,23.1184
98,156,156,518.67,642.3,1580.93,1404.55,14.62,21.61,554.16,2388.0,9073.83,1.3,47.25,522.3,2387.97,8150.69,8.3792,0.03,392.0,2388.0,100.0,39.01,23.4547,518.67,643.02,1603.77,1432.16,14.62,21.61,551.52,2388.24,9058.54,1.3,48.29,519.55,2388.26,8122.22,8.5308,0.03,396.0,2388.0,100.0,38.33,23.1137
99,185,185,518.67,641.69,1586.17,1391.14,14.62,21.61,554.09,2388.03,9064.32,1.3,47.41,522.65,2388.06,8131.23,8.4038,0.03,391.0,2388.0,100.0,39.01,23.4007,518.67,643.93,1598.42,1421.56,14.62,21.61,550.64,2388.29,9050.61,1.3,48.29,519.99,2388.24,8127.53,8.5425,0.03,397.0,2388.0,100.0,38.49,23.1931
100,200,200,518.67,642.25,1596.57,1404.52,14.62,21.61,553.99,2388.07,9055.97,1.3,47.36,522.13,2388.14,8146.76,8.4177,0.03,393.0,2388.0,100.0,38.72,23.3899,518.67,643.85,1600.38,1432.14,14.62,21.61,550.79,2388.26,9061.48,1.3,48.2,519.3,2388.26,8137.33,8.5036,0.03,396.0,2388.0,100.0,38.37,23.0522
